order_month,Shipping Mode,order_volume,avg_latency_gap,sla_breach_rate
2015-01,First Class,691,1.0,96.24
2015-01,Same Day,255,0.49,46.67
2015-01,Second Class,1091,1.89,77.18
2015-01,Standard Class,3285,-0.0,38.17
2015-02,First Class,733,1.0,94.82
2015-02,Same Day,262,0.57,51.91
2015-02,Second Class,977,2.08,75.54
2015-02,Standard Class,2757,-0.03,37.18
2015-03,First Class,861,1.0,97.68
2015-03,Same Day,286,0.41,39.86
2015-03,Second Class,1034,2.05,75.92
2015-03,Standard Class,3181,-0.01,37.6
2015-04,First Class,715,1.0,94.69
2015-04,Same Day,242,0.59,53.31
2015-04,Second Class,1034,1.94,75.24
2015-04,Standard Class,3135,-0.02,37.51
2015-05,First Class,960,1.0,91.98
2015-05,Same Day,263,0.57,57.03
2015-05,Second Class,931,2.0,77.12
2015-05,Standard Class,3203,0.0,37.46
2015-06,First Class,741,1.0,96.22
2015-06,Same Day,252,0.44,42.86
2015-06,Second Class,989,1.96,74.82
2015-06,Standard Class,3152,-0.01,38.61
2015-07,First Class,768,1.0,98.05
2015-07,Same Day,386,0.38,36.79
2015-07,Second Class,1004,2.14,82.97
2015-07,Standard Class,3141,-0.01,38.55
2015-08,First Class,889,1.0,97.98
2015-08,Same Day,264,0.46,43.18
2015-08,Second Class,1109,2.02,76.19
2015-08,Standard Class,3011,-0.04,36.73
2015-09,First Class,798,1.0,97.87
2015-09,Same Day,241,0.38,33.61
2015-09,Second Class,1029,1.94,78.23
2015-09,Standard Class,3072,0.04,40.59
2015-10,First Class,898,1.0,93.43
2015-10,Same Day,271,0.58,57.56
2015-10,Second Class,948,2.06,76.58
2015-10,Standard Class,3185,-0.04,37.21
2015-11,First Class,779,1.0,96.92
2015-11,Same Day,265,0.41,41.13
2015-11,Second Class,1054,1.99,75.71
2015-11,Standard Class,3137,-0.01,37.58
2015-12,First Class,840,1.0,94.05
2015-12,Same Day,328,0.37,36.59
2015-12,Second Class,1041,2.04,79.15
2015-12,Standard Class,3162,-0.02,38.05
2016-01,First Class,791,1.0,94.56
2016-01,Same Day,324,0.49,45.99
2016-01,Second Class,1132,1.94,75.97
2016-01,Standard Class,3070,0.01,39.02
2016-02,First Class,682,1.0,93.7
2016-02,Same Day,240,0.34,32.08
2016-02,Second Class,911,1.95,76.4
2016-02,Standard Class,3061,0.05,40.44
2016-03,First Class,875,1.0,95.2
